       x,       x,       x,       x
       0,       0,   93554,   80110
       0,       0,   77608,  105719
       0,       0,   56527,  128106
       0,       0,   30983,  146323
       0,       0,    1807,  159575
       0,       0,  -30009,  167212
       0,       0,  -63388,  168802
       0,       0,  -97172,  164104
       0,       0, -130194,  153113
       0,       0, -161279,  136037
       0,       0, -189325,  113297
       0,       0, -213323,   85518
       0,       0, -232399,   53488
       0,       0, -245832,   18163
       0,       0, -253079,  -19386
       0,       0, -253826,  -58012
       0,       0, -247971,  -96526
       0,       0, -235631, -133734
       0,       0, -217136, -168489
       0,       0, -193026, -199730
       0,       0, -164025, -226517
       0,       0, -131014, -248035
       0,       0,  -95027, -263671
       0,       0,  -57185, -272999
       0,       0,  -18655, -275831
       0,       0,   19379, -272173
       0,       0,   55765, -262259
       0,       0,   89394, -246538
       0,       0,  119290, -225648
       0,       0,  144590, -200412
       0,       0,  164626, -171763
       0,       0,  178903, -140779
       0,       0,  187142, -108579
       0,       0,  189270,  -76320
       0,       0,  185451,  -45154
       0,       0,  176054,  -16175
       0,       0,  161634,    9599
       0,       0,  142948,   31319
       0,       0,  120881,   48262
       0,       0,   96456,   59898
       0,       0,   70751,   65892
       0,       0,   44907,   66121
       0,       0,   20066,   60703
       0,       0,   -2678,   49947
       0,       0,  -22308,   34375
       0,       0,  -37944,   14692
       0,       0,  -48840,   -8245
       0,       0,  -54429,  -33432
       0,       0,  -54322,  -59804
       0,       0,  -48354,  -86207
       0,       0,  -36589, -111501
       0,       0,  -19316, -134566
       0,       0,    2980, -154362
       0,       0,   29617, -169940
       0,       0,   59764, -180504
       0,       0,   92434, -185415
       0,       0,  126554, -184236
       0,       0,  160957, -176744
       0,       0,  194469, -162932
       0,       0,  225923, -143024
       0,       0,  254214, -117431
       0,       0,  278330,  -86788
       0,       0,  297390,  -51895
       0,       0,  310690,  -13717
       0,       0,  317676,   26679
       0,       0,  318044,   68142
       0,       0,  311671,  109472
       0,       0,  298701,  149469
       0,       0,  279449,  186986
       0,       0,  254465,  220957
       0,       0,  224467,  250427
       0,       0,  190347,  274580
       0,       0,  153133,  292798
       0,       0,  113952,  304653
       0,       0,   73966,  309949
       0,       0,   34380,  308690
       0,       0,   -3664,  301107
       0,       0,  -39053,  287641
       0,       0,  -70810,  268928
       0,       0,  -98067,  245783
       0,       0, -120146,  219145
       0,       0, -136545,  190075
       0,       0, -146998,  159693
       0,       0, -151408,  129151
       0,       0, -149952,   99601
       0,       0, -142976,   72131
       0,       0, -131052,   47754
       0,       0, -114920,   27323
       0,       0,  -95460,   11565
       0,       0,  -73696,     996
       0,       0,  -50695,   -4053
       0,       0,  -27598,   -3462
       0,       0,   -5531,    2654
       0,       0,   14414,   13991
       0,       0,   31223,   30017
       0,       0,   44017,   50032
       0,       0,   52053,   73172
       0,       0,   54778,   98439
       0,       0,   51808,  124762
       0,       0,   42982,  150994
       0,       0,   28375,  176001
       0,       0,    8275,  198650
       0,       0,  -16826,  217902
       0,       0,  -46247,  232807
       0,       0,  -79146,  242583
       0,       0, -114525,  246583
       0,       0, -151312,  244375
       0,       0, -188333,  235735
       0,       0, -224421,  220664
       0,       0, -258387,  199386
       0,       0, -289131,  172316
       0,       0, -315625,  140089
       0,       0, -336999,  103505
       0,       0, -352529,   63535
       0,       0, -361670,   21251
       0,       0, -364102,  -22191
       0,       0, -359713,  -65590
       0,       0, -348626, -107736
       0,       0, -331166, -147482
       0,       0, -307866, -183757
       0,       0, -279457, -215606
       0,       0, -246814, -242212
       0,       0, -210971, -262946
       0,       0, -173043, -277377
       0,       0, -134208, -285297
       0,       0,  -95646, -286705
       0,       0,  -58513, -281836
       0,       0,  -23909, -271122
       0,       0,    7176, -255193
       0,       0,   33883, -234858
       0,       0,   55541, -211046
       0,       0,   71647, -184824
       0,       0,   81929, -157296
       0,       0,   86296, -129613
       0,       0,   84920, -102921
       0,       0,   78158,  -78304
       0,       0,   66564,  -56769
       0,       0,   50885,  -39160
       0,       0,   32006,  -26201
       0,       0,   10947,  -18405
       0,       0,  -11227,  -16101
       0,       0,  -33385,  -19396
       0,       0,  -54391,  -28174
       0,       0,  -73157,  -42120
       0,       0,  -88676,  -60695
       0,       0, -100067,  -83205
       0,       0, -106595, -108771
       0,       0, -107704, -136406
       0,       0, -103017, -165017
       0,       0,  -92378, -193463
       0,       0,  -75856, -220592
       0,       0,  -53756, -245284
       0,       0,  -26564, -266493
       0,       0,    5033, -283260
       0,       0,   40192, -294795
       0,       0,   77912, -300448
       0,       0,  117098, -299797
       0,       0,  156589, -292608
       0,       0,  195200, -278875
       0,       0,  231758, -258818
       0,       0,  265132, -232857
       0,       0,  294308, -201628
       0,       0,  318402, -165924
       0,       0,  336694, -126706
       0,       0,  348624,  -85055
       0,       0,  353871,  -42125
       0,       0,  352319,     885
       0,       0,  344085,   42774
       0,       0,  329484,   82387
       0,       0,  309048,  118656
       0,       0,  283498,  150622
       0,       0,  253703,  177473
       0,       0,  220697,  198570
       0,       0,  185590,  213492
       0,       0,  149550,  222025
       0,       0,  113755,  224174
       0,       0,   79352,  220163
