       X,       X
 -259040,  188736
 -278528,  151840
 -291712,  112432
 -298224,   71664
 -298000,   30768
 -291120,   -9056
 -277888,  -46640
 -258896,  -80912
 -234816, -110912
 -206576, -135808
 -175136, -154960
 -141696, -167968
 -107408, -174592
  -73424, -174864
  -40960, -169008
  -11088, -157456
   15200, -140864
   37056, -120016
   53760,  -95904
   64880,  -69552
   70096,  -42144
   69376,  -14816
   62848,   11328
   50928,   35104
   34192,   55552
   13328,   71808
  -10640,   83152
  -36768,   89040
  -63920,   89168
  -90960,   83424
 -116704,   71904
 -140080,   55008
 -160032,   33200
 -175680,    7216
 -186256,  -22016
 -191200,  -53536
 -190112,  -86192
 -182848, -118848
 -169424, -150320
 -150192, -179472
 -125632, -205216
  -96400, -226624
  -63392, -242816
  -27568, -253200
    9936, -257280
   47984, -254848
   85328, -245872
  120832, -230560
  153328, -209360
  181808, -182848
  205376, -151856
  223280, -117344
  234992,  -80400
  240160,  -42160
  238688,   -3840
  230672,   33360
  216448,   68256
  196560,   99808
  171712,  127056
  142800,  149152
  110848,  165504
   77008,  175680
   42432,  179456
    8288,  176864
  -24192,  168144
  -53968,  153712
  -80032,  134272
 -101536,  110592
 -117776,   83664
 -128288,   54512
 -132784,   24320
 -131232,   -5744
 -123728,  -34592
 -110736,  -61024
  -92800,  -84080
  -70640, -102864
  -45248, -116704
  -17584, -125008
   11200, -127488
   39968, -124032
   67552, -114704
   92848,  -99920
  114832,  -80144
  132560,  -56112
  145344,  -28720
  152544,    1056
  153808,   32064
  148944,   63184
  138016,   93216
  121328,  121040
   99360,  145568
   72768,  165872
   42448,  181104
    9360,  190640
  -25392,  193968
  -60624,  190912
  -95152,  181456
 -127824,  165776
 -157472,  144320
 -183072,  117696
 -203776,   86720
 -218832,   52352
 -227696,   15648
 -230016,  -22192
 -225728,  -60016
 -214928,  -96560
 -197936, -130720
 -175312, -161392
 -147776, -187632
 -116240, -208624
  -81696, -223760
  -45328, -232576
   -8288, -234912
   28256, -230752
   63072, -220384
   95104, -204192
  123344, -182880
  146944, -157248
  165184, -128272
  177632,  -96992
  183936,  -64608
  184096,  -32224
  178224,   -1040
  166736,   27824
  150192,   53376
  129328,   74720
  105120,   91168
   78528,  102128
   50688,  107328
   22736,  106608
   -4144,  100064
  -28864,   88080
  -50384,   71120
  -67792,   49936
  -80368,   25408
  -87488,   -1504
  -88800,  -29648
  -84112,  -57904
  -73472,  -85088
  -57184, -110096
  -35776, -131808
   -9856, -149328
   19680, -161808
   51856, -168624
   85568, -169296
  119664, -163616
  152928, -151584
  184224, -133376
  212400, -109488
  236416,  -80464
  255424,  -47184
  268688,  -10576
  275664,   28272
  276000,   68192
  269648,  107984
  256688,  146432
  237472,  182368
  212544,  214736
  182624,  242560
  148640,  265040
  111568,  281536
   72624,  291616
   32960,  295088
   -6256,  291984
  -43776,  282496
  -78576,  267104
 -109600,  246464
 -136000,  221376
 -157088,  192832
 -172368,  161840
 -181536,  129616
 -184560,   97296
 -181536,   66016
 -172912,   36944
 -159216,   11056
 -141168,  -10736
 -119760,  -27760
  -95952,  -39440
  -70848,  -45456
  -45616,  -45680
  -21392,  -40192
     720,  -29392
   19680,  -13728
   34608,    6064
   44736,   29072
   49504,   54368
   48512,   80800
   41616,  107232
   28848,  132512
   10528,  155504
  -12848,  175136
  -40640,  190480
  -71920,  200688
 -105760,  205168
 -141024,  203424
 -176576,  195296
 -211184,  180720
 -243696,  159936
 -272976,  133392
 -298000,  101712
 -317888,   65696
 -331904,   26320
 -339504,  -15312
 -340368,  -58048
 -334400, -100688
 -321696, -141984
 -302608, -180784
 -277696, -216016
 -247648, -246704
 -213424, -272032
 -175984, -291360
 -136560, -304272
  -96272, -310544
  -56320, -310192
  -17936, -303456
   17840, -290752
   49952, -272752
   77568, -250256
   99984, -224240
  116688, -195744
  127392, -165920
  132080, -135952
  130800, -106928
  124016,  -80064
  112272,  -56272
   96256,  -36496
   76976,  -21392
   55360,  -11552
   32528,   -7280
    9648,   -8672
  -12160,  -15696
  -31776,  -27920
  -48192,  -44880
  -60496,  -65872
  -67984,  -89968
  -70048, -116224
  -66336, -143488
  -56656, -170640
  -41088, -196512
  -19952, -219984
    6272, -239968
   36912, -255536
   71056, -265840
  107760, -270304
  145888, -268416
  184288, -259984
  221728, -245008
  257056, -223712
  289120, -196512
  316896, -164048
  339504, -127136
  356208,  -86752
  366448,  -43984
  369872,       0
  366432,   43984
  356192,   86752
  339488,  127104
  316896,  164016
  289104,  196480
  257040,  223696
  221696,  244992
  184256,  259952
  145872,  268368
  107728,  270240
   71040,  265792
   36864,  255472
    6240,  239920
  -19984,  219920
  -41104,  196480
  -56656,  170592
  -66320,  143440
  -70080,  116176
  -68000,   89904
  -60528,   65808
  -48224,   44832
  -31760,   27888
  -12160,   15632
    9648,    8656
   32528,    7232
   55344,   11504
   76960,   21360
   96272,   36432
  112256,   56224
